Item,Calories,Sodium,Sugars
Frappé Chocolate Chip (Medium),0.335106,0.0444444,0.0536424
Frappé Chocolate Chip (Large),0.404255,0.0555556,0.0655629
Blueberry Pomegranate Smoothie (Small),0.117021,0.0111111,0.0291391
Blueberry Pomegranate Smoothie (Medium),0.138298,0.0138889,0.0357616
Blueberry Pomegranate Smoothie (Large),0.180851,0.0180556,0.0463576
Strawberry Banana Smoothie (Small),0.111702,0.0138889,0.0291391
Strawberry Banana Smoothie (Medium),0.132979,0.0166667,0.0357616
Strawberry Banana Smoothie (Large),0.175532,0.0222222,0.0463576
Mango Pineapple Smoothie (Small),0.111702,0.0111111,0.0304636
Mango Pineapple Smoothie (Medium),0.138298,0.0125,0.0370861
Mango Pineapple Smoothie (Large),0.180851,0.0166667,0.0476821
Vanilla Shake (Small),0.281915,0.0444444,0.0417219
Vanilla Shake (Medium),0.351064,0.0555556,0.0536424
Vanilla Shake (Large),0.43617,0.0722222,0.0668874
Strawberry Shake (Small),0.292553,0.0444444,0.0523179
Strawberry Shake (Medium),0.367021,0.0583333,0.0662252
Strawberry Shake (Large),0.452128,0.0722222,0.081457
Chocolate Shake (Small),0.297872,0.0666667,0.0509934
Chocolate Shake (Medium),0.37234,0.0833333,0.0642384
Chocolate Shake (Large),0.452128,0.105556,0.0794702
Shamrock Shake (Medium),0.351064,0.0583333,0.0615894
Shamrock Shake (Large),0.43617,0.0722222,0.0761589
McFlurry with M&M’s Candies (Small),0.345745,0.05,0.0589404
McFlurry with M&M’s Candies (Medium),0.494681,0.0722222,0.0847682
McFlurry with M&M’s Candies (Snack),0.228723,0.0333333,0.0390728
McFlurry with Oreo Cookies (Small),0.271277,0.0777778,0.0423841
McFlurry with Oreo Cookies (Medium),0.367021,0.105556,0.0562914
McFlurry with Oreo Cookies (Snack),0.180851,0.0527778,0.0284768
McFlurry with Reese's Peanut Butter Cups (Medium),0.430851,0.111111,0.0682119
McFlurry with Reese's Peanut Butter Cups (Snack),0.218085,0.0555556,0.0337748
